"standardized_species","exclusion_type","number_of_studies"
"Pharaoh Cuttlefish (Acanthosepion pharaonis)","Broad wild-caught-only group exclusion",3
"Pilchard (no species specified)","Broad wild-caught-only group exclusion",3
"Pout (no species specified)","Production method: not specified, exclude",3
"Prawn (Palaemon serratus)","Species-level wild-caught exclusion within retained commodity group",3
"Red Scorpionfish (Scorpaena scrofa)","Broad wild-caught-only group exclusion",3
"Rockfish (Sebastes schlegeli)","Broad wild-caught-only group exclusion",3
"Round Sardinella (Sardinella aurita)","Broad wild-caught-only group exclusion",3
"Saithe/Coalfish (no species specified)","Broad wild-caught-only group exclusion",3
"Shaw (Eleutheronema tetradactylum)","Broad wild-caught-only group exclusion",3
"Shrimp (Parapenaeopsis stylifera)","Production method: not specified, exclude",3
"Smooth-Hound (Mustelus mustelus)","Broad wild-caught-only group exclusion",3
"Spanish Mackerel (no species specified)","Broad wild-caught-only group exclusion",3
"Spider Crab (no species specified)","Species-level wild-caught exclusion within retained commodity group",3
"Squids (no species specified)","Broad wild-caught-only group exclusion",3
"Three-spot Swimming Crab (Portunus sanguinolentus)","Production method: not specified, exclude",3
"Toothed Sparus (Dentex dentex)","Broad wild-caught-only group exclusion",3
"White Shrimp (Litopenaeus setiferus)","Species-level wild-caught exclusion within retained commodity group",3
"Whiting (Merlangius merlangus)","Broad wild-caught-only group exclusion",3
"Albacore Tuna (Thunnus alalunga)","Broad wild-caught-only group exclusion",2
"Bartail Flathead (Platycephalus indicus)","Broad wild-caught-only group exclusion",2
"Belanger's Croaker (Johnius belangerii)","Species-level wild-caught exclusion within retained commodity group",2
"Bengal Tonguesole (Cynoglossus cynoglossus)","Species-level wild-caught exclusion within retained commodity group",2
"Big-eye Mandarin Fish (Siniperca kneri)","Broad wild-caught-only group exclusion",2
"Bigeye Trevally (Caranx sexfasciatus)","Broad wild-caught-only group exclusion",2
"Bighead Croaker (Collichthys lucidus)","Species-level wild-caught exclusion within retained commodity group",2
"Black Scabbardfish (Aphanopus carbo)","Broad wild-caught-only group exclusion",2
"Black Scraper (Thamnaconus modestus)","Broad wild-caught-only group exclusion",2
"Blotched picarel (Spicara maena)","Production method: not specified, exclude",2
"Blue Shark (Prionace glauca)","Broad wild-caught-only group exclusion",2
"Brown-Marbled Grouper (Epinephelus fuscoguttatus)","Species-level wild-caught exclusion within retained commodity group",2
"Butterfish (no species specified)","Production method: not specified, exclude",2
"Calamari (no species specified)","Broad wild-caught-only group exclusion",2
